Unique No,Name,Class,Section
164530,A B,7,A
112205,C D,9,B
108331,E F,11,C
132793,G H,9,D
114911,I J,6,A
105221,K L,6,B
178213,M N,8,C
126607,O P,10,D
183882,Q R,7,A
181083,S T,6,B
186690,U V ,8,C
176558,W X,12,D
118701,Y Z,12,A
126587,B C,11,B
107632,D E,10,C
174112,F G,7,D
174067,H I,8,A
181302,J K,9,B
181788,L M,11,C
146993,N O,9,D
139677,P Q,9,A
154714,R S,10,B
119277,T U,11,C
129943,V W,11,D
142536,X Y ,9,A
121966,Z A,8,B




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































